,Label,Row,Intervals
118,12-118,"[0, 1, 5, 10, 8, 2, 9, 11, 7, 4, 3, 6]",[ 1  4  5 10  6  7  2  8  9 11  3  6]
119,12-119,"[0, 1, 5, 10, 8, 2, 11, 7, 9, 4, 3, 6]",[ 1  4  5 10  6  9  8  2  7 11  3  6]
120,12-120,"[0, 1, 5, 10, 8, 4, 7, 9, 3, 2, 11, 6]",[ 1  4  5 10  8  3  2  6 11  9  7  6]
121,12-121,"[0, 1, 5, 10, 9, 11, 7, 4, 2, 8, 3, 6]",[ 1  4  5 11  2  8  9 10  6  7  3  6]
122,12-122,"[0, 1, 5, 11, 2, 9, 7, 4, 3, 8, 10, 6]",[ 1  4  6  3  7 10  9 11  5  2  8  6]
123,12-123,"[0, 1, 5, 11, 2, 10, 7, 9, 4, 3, 8, 6]",[ 1  4  6  3  8  9  2  7 11  5 10  6]
124,12-124,"[0, 1, 5, 11, 4, 2, 9, 8, 10, 7, 3, 6]",[ 1  4  6  5 10  7 11  2  9  8  3  6]
125,12-125,"[0, 1, 5, 11, 4, 2, 10, 7, 9, 8, 3, 6]",[ 1  4  6  5 10  8  9  2 11  7  3  6]
126,12-126,"[0, 1, 5, 11, 7, 10, 8, 3, 2, 4, 9, 6]",[ 1  4  6  8  3 10  7 11  2  5  9  6]
127,12-127,"[0, 1, 5, 11, 7, 4, 2, 9, 8, 10, 3, 6]",[ 1  4  6  8  9 10  7 11  2  5  3  6]
128,12-128,"[0, 1, 5, 11, 8, 10, 9, 4, 2, 7, 3, 6]",[ 1  4  6  9  2 11  7 10  5  8  3  6]
129,12-129,"[0, 1, 5, 11, 8, 3, 2, 4, 9, 7, 10, 6]",[ 1  4  6  9  7 11  2  5 10  3  8  6]
130,12-130L,"[0, 1, 5, 11, 8, 7, 9, 4, 2, 10, 3, 6]",[ 1  4  6  9 11  2  7 10  8  5  3  6]
131,12-131S,"[0, 1, 5, 2, 4, 9, 3, 10, 8, 11, 7, 6]",[ 1  4  9  2  5  6  7 10  3  8 11  6]
132,12-132,"[0, 1, 5, 2, 4, 10, 9, 7, 3, 8, 11, 6]",[ 1  4  9  2  6 11 10  8  5  3  7  6]
133,12-133,"[0, 1, 5, 2, 4, 11, 7, 10, 3, 9, 8, 6]",[ 1  4  9  2  7  8  3  5  6 11 10  6]
134,12-134,"[0, 1, 5, 2, 4, 11, 7, 10, 9, 3, 8, 6]",[ 1  4  9  2  7  8  3 11  6  5 10  6]
135,12-135,"[0, 1, 5, 2, 4, 11, 9, 3, 8, 7, 10, 6]",[ 1  4  9  2  7 10  6  5 11  3  8  6]
136,12-136,"[0, 1, 5, 2, 7, 10, 8, 4, 3, 9, 11, 6]",[ 1  4  9  5  3 10  8 11  6  2  7  6]
137,12-137,"[0, 1, 5, 2, 8, 10, 3, 11, 9, 4, 7, 6]",[ 1  4  9  6  2  5  8 10  7  3 11  6]
138,12-138,"[0, 1, 5, 2, 8, 7, 10, 3, 11, 9, 4, 6]",[ 1  4  9  6 11  3  5  8 10  7  2  6]
139,12-139,"[0, 1, 5, 2, 9, 11, 4, 10, 8, 7, 3, 6]",[ 1  4  9  7  2  5  6 10 11  8  3  6]
140,12-140,"[0, 1, 5, 2, 9, 11, 7, 10, 4, 3, 8, 6]",[ 1  4  9  7  2  8  3  6 11  5 10  6]
